File,Data,Algo,Size,Fun,Leaf,Param,ETst,TstTime,FunEvalTime
iris_15_2020_11_21_16_03_16_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,197,62,134,258,1,0,0
iris_16_2020_11_23_07_23_09_best_test_optPRM_adagrad_model.json,iris,_adagrad_,117,38,78,154,0.966666667,0,0
iris_16_2020_11_23_07_23_09_best_test_optPRM_adam_model.json,iris,_adam_,117,38,78,154,1,0,0
iris_16_2020_11_23_07_23_09_best_test_optPRM_gd_model.json,iris,_gd_,117,38,78,154,0.966666667,0,0
iris_16_2020_11_23_07_23_09_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,117,38,78,154,1,0,0
iris_16_2020_11_23_07_23_09_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,117,38,78,154,1,0,0
iris_16_2020_11_23_07_23_09_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,117,38,78,154,1,0,0
iris_17_2020_11_23_01_43_29_best_test_optPRM_adagrad_model.json,iris,_adagrad_,197,68,128,264,0.933333333,0,0
iris_17_2020_11_23_01_43_29_best_test_optPRM_adam_model.json,iris,_adam_,197,68,128,264,0.933333333,0.001,3.33E-05
iris_17_2020_11_23_01_43_29_best_test_optPRM_gd_model.json,iris,_gd_,197,68,128,264,0.9,0,0
iris_17_2020_11_23_01_43_29_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,197,68,128,264,0.966666667,0,0
iris_17_2020_11_23_01_43_29_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,197,68,128,264,0.933333333,0,0
iris_17_2020_11_23_01_43_29_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,197,68,128,264,0.966666667,0,0
iris_18_2020_11_23_14_20_43_best_test_optPRM_adagrad_model.json,iris,_adagrad_,189,59,129,247,0.966666667,0,0
iris_18_2020_11_23_14_20_43_best_test_optPRM_adam_model.json,iris,_adam_,189,59,129,247,1,0.001,3.33E-05
iris_18_2020_11_23_14_20_43_best_test_optPRM_gd_model.json,iris,_gd_,189,59,129,247,0.966666667,0.001,3.33E-05
iris_18_2020_11_23_14_20_43_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,189,59,129,247,1,0,0
iris_18_2020_11_23_14_20_43_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,189,59,129,247,1,0,0
iris_18_2020_11_23_14_20_43_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,189,59,129,247,1,0,0
iris_19_2020_11_23_05_58_56_best_test_optPRM_adagrad_model.json,iris,_adagrad_,141,44,96,184,0.933333333,0,0
iris_19_2020_11_23_05_58_56_best_test_optPRM_adam_model.json,iris,_adam_,141,44,96,184,0.966666667,0.001,3.33E-05
iris_19_2020_11_23_05_58_56_best_test_optPRM_gd_model.json,iris,_gd_,141,44,96,184,0.933333333,0,0
iris_19_2020_11_23_05_58_56_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,141,44,96,184,0.966666667,0,0
iris_19_2020_11_23_05_58_56_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,141,44,96,184,0.966666667,0,0
iris_19_2020_11_23_05_58_56_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,141,44,96,184,0.966666667,0,0
iris_1_2020_11_22_19_05_09_best_test_optPRM_adagrad_model.json,iris,_adagrad_,177,59,117,235,1,0.001,3.33E-05
iris_1_2020_11_22_19_05_09_best_test_optPRM_adam_model.json,iris,_adam_,177,59,117,235,1,0,0
iris_1_2020_11_22_19_05_09_best_test_optPRM_gd_model.json,iris,_gd_,177,59,117,235,1,0.001,3.33E-05
iris_1_2020_11_22_19_05_09_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,177,59,117,235,1,0,0
iris_1_2020_11_22_19_05_09_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,177,59,117,235,1,0.001,3.33E-05
iris_1_2020_11_22_19_05_09_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,177,59,117,235,1,0,0
iris_20_2020_11_23_16_50_08_best_test_optPRM_adagrad_model.json,iris,_adagrad_,335,113,221,447,0.966666667,0.001,3.33E-05
iris_20_2020_11_23_16_50_08_best_test_optPRM_adam_model.json,iris,_adam_,335,113,221,447,0.933333333,0.001,3.33E-05
iris_20_2020_11_23_16_50_08_best_test_optPRM_gd_model.json,iris,_gd_,335,113,221,447,0.933333333,0,0
iris_20_2020_11_23_16_50_08_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,335,113,221,447,1,0.001,3.33E-05
iris_20_2020_11_23_16_50_08_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,335,113,221,447,1,0.006,2.00E-04
iris_20_2020_11_23_16_50_08_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,335,113,221,447,1,0.001,3.33E-05
iris_21_2020_11_23_16_49_07_best_test_optPRM_adagrad_model.json,iris,_adagrad_,171,56,114,226,1,0,0
iris_21_2020_11_23_16_49_07_best_test_optPRM_adam_model.json,iris,_adam_,171,56,114,226,1,0,0
iris_21_2020_11_23_16_49_07_best_test_optPRM_gd_model.json,iris,_gd_,171,56,114,226,1,0,0
iris_21_2020_11_23_16_49_07_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,171,56,114,226,1,0,0
iris_21_2020_11_23_16_49_07_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,171,56,114,226,1,0,0
iris_21_2020_11_23_16_49_07_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,171,56,114,226,1,0,0
iris_22_2020_11_22_13_32_40_best_test_optPRM_adagrad_model.json,iris,_adagrad_,168,57,110,224,0.933333333,0,0
iris_22_2020_11_22_13_32_40_best_test_optPRM_adam_model.json,iris,_adam_,168,57,110,224,1,0,0
iris_22_2020_11_22_13_32_40_best_test_optPRM_gd_model.json,iris,_gd_,168,57,110,224,0.866666667,0,0
iris_22_2020_11_22_13_32_40_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,168,57,110,224,1,0,0
iris_22_2020_11_22_13_32_40_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,168,57,110,224,1,0.001,3.33E-05
iris_22_2020_11_22_13_32_40_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,168,57,110,224,1,0,0
iris_23_2020_11_23_08_37_46_best_test_optPRM_adagrad_model.json,iris,_adagrad_,289,93,195,381,0.966666667,0,0
iris_23_2020_11_23_08_37_46_best_test_optPRM_adam_model.json,iris,_adam_,289,93,195,381,1,0,0
iris_23_2020_11_23_08_37_46_best_test_optPRM_gd_model.json,iris,_gd_,289,93,195,381,0.966666667,0.001,3.33E-05
iris_23_2020_11_23_08_37_46_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,289,93,195,381,1,0,0
iris_23_2020_11_23_08_37_46_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,289,93,195,381,1,0.001,3.33E-05
iris_23_2020_11_23_08_37_46_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,289,93,195,381,1,0,0
iris_24_2020_11_22_13_01_35_best_test_optPRM_adagrad_model.json,iris,_adagrad_,256,79,176,334,0.933333333,0.001,3.33E-05
iris_24_2020_11_22_13_01_35_best_test_optPRM_adam_model.json,iris,_adam_,256,79,176,334,1,0,0
iris_24_2020_11_22_13_01_35_best_test_optPRM_gd_model.json,iris,_gd_,256,79,176,334,0.933333333,0,0
iris_24_2020_11_22_13_01_35_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,256,79,176,334,1,0,0
iris_24_2020_11_22_13_01_35_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,256,79,176,334,1,0,0
iris_24_2020_11_22_13_01_35_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,256,79,176,334,1,0.001,3.33E-05
iris_25_2020_11_21_10_27_54_best_test_optPRM_adagrad_model.json,iris,_adagrad_,180,57,122,236,0.966666667,0.001,3.33E-05
iris_25_2020_11_21_10_27_54_best_test_optPRM_adam_model.json,iris,_adam_,180,57,122,236,0.966666667,0,0
iris_25_2020_11_21_10_27_54_best_test_optPRM_gd_model.json,iris,_gd_,180,57,122,236,0.966666667,0,0
iris_25_2020_11_21_10_27_54_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,180,57,122,236,0.966666667,0,0
iris_25_2020_11_21_10_27_54_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,180,57,122,236,0.966666667,0,0
iris_25_2020_11_21_10_27_54_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,180,57,122,236,0.966666667,0,0
iris_26_2020_11_23_22_35_13_best_test_optPRM_adagrad_model.json,iris,_adagrad_,189,61,127,249,0.9,0,0
iris_26_2020_11_23_22_35_13_best_test_optPRM_adam_model.json,iris,_adam_,189,61,127,249,1,0,0
iris_26_2020_11_23_22_35_13_best_test_optPRM_gd_model.json,iris,_gd_,189,61,127,249,0.933333333,0.001,3.33E-05
iris_26_2020_11_23_22_35_13_best_test_optPRM_momentum_gd_model.json,iris,_momentum_gd_,189,61,127,249,1,0,0
iris_26_2020_11_23_22_35_13_best_test_optPRM_nesterov_accelerated_gd_model.json,iris,_nesterov_accelerated_gd_,189,61,127,249,1,0,0
iris_26_2020_11_23_22_35_13_best_test_optPRM_rmsprop_model.json,iris,_rmsprop_,189,61,127,249,1,0.002,6.67E-05
iris_27_2020_11_22_07_48_34_best_test_optPRM_adagrad_model.json,iris,_adagrad_,194,67,126,260,0.966666667,0.001,3.33E-05
iris_27_2020_11_22_07_48_34_best_test_optPRM_adam_model.json,iris,_adam_,194,67,126,260,0.966666667,0,0
iris_27_2020_11_22_07_48_34_best_test_optPRM_gd_model.json,iris,_gd_,194,67,126,260,0.966666667,0,0
