data,algo,tttest_stat,tttest_p_val,tttest_p_val_Bon,tttest_p_val_Benjamin,tttest_p_val_Holm,wilcoxon_stat,wilcoxon_p_val,wilcoxon_p_val_Bon,wilcoxon_p_val_Benjamin,wilcoxon_p_val_Holm,ks_2samp_stat,ks_2samp_p_val,ks_2samp_p_val_Bon,ks_2samp_p_val_Benjamin,ks_2samp_p_val_Holm
iris,GP,5.027283078,5.09E-06,5.09E-05,1.02E-05,3.05E-05,14,7.29E-05,0.00072944,0.000145888,0.000437664,0.5,0.000899578,0.008995777,0.001124472,0.004497888
iris,SGD,3.927364374,0.00023082,0.002308198,0.0003847,0.001154099,7,0.000137843,0.001378428,0.000229738,0.000689214,0.666666667,1.28E-06,1.28E-05,3.19E-06,1.02E-05
iris,RMSprop,3.215389114,0.002130678,0.021306777,0.003043825,0.008522711,18,0.003176104,0.031761038,0.00397013,0.012603271,0.5,0.000899578,0.008995777,0.001124472,0.004497888
iris,NBC,6.224183328,5.80E-08,5.80E-07,1.45E-07,4.06E-07,10,5.09E-05,0.0005087,0.000127175,0.00035609,0.566666667,8.74E-05,0.00087378,0.000174756,0.000524268
wine,NAG,0.97298719,0.334600197,1,0.478000281,1,32,0.107713031,1,0.134641288,0.405747082,0.333333333,0.070887988,0.708879879,0.101268554,0.354439939
wine,MGD,0.833156928,0.408174116,1,0.510217646,1,25,0.081149416,0.811494163,0.133169702,0.405747082,0.3,0.135003503,1,0.168754378,0.405010508
wine,Adam,6.94E-07,0.999999449,1,0.999999449,1,24,0.42013061,1,0.42013061,0.42013061,0.166666667,0.807963154,1,0.807963154,0.807963154
wine,Adagrad,5.914772387,1.88E-07,1.88E-06,9.41E-07,1.69E-06,0,5.43E-06,5.43E-05,2.72E-05,4.89E-05,0.833333333,9.24E-11,9.24E-10,4.62E-10,8.31E-10
wine,DT,9.786139875,6.87E-14,6.87E-13,6.87E-13,6.87E-13,0,2.26E-06,2.26E-05,2.26E-05,2.26E-05,0.9,5.79E-13,5.79E-12,5.79E-12,5.79E-12
wine,SVM,1.882456096,0.064793498,0.647934976,0.129586995,0.388760986,37.5,0.0303373,0.303372996,0.060674599,0.182023798,0.466666667,0.002530062,0.025300622,0.005060124,0.015180373
