exp,data,algo,error_trn,error_tst,corr_trn,corr_tst,r2_trn,r2_tst,tree_size,func_node,leaf_node,train_param,compute_time,problem
MLP_relu_ES_No_Reg_No_npy,australian,RMSprop,0.12862318754196167,0.19565218687057495,,,0.8713768124580383,0.804347813129425,,,,1702,0.00029336931048959923,class
MLP_relu_ES_No_Reg_No_npy,australian,Adam,0.4420289993286133,0.45652174949645996,,,0.5579710006713867,0.54347825050354,,,,1702,0.00034701133119887197,class
MLP_relu_ES_No_Reg_No_npy,australian,Adagrad,0.019927561283111572,0.13768118619918823,,,0.9800724387168884,0.8623188138008118,,,,1702,0.0003502848355666451,class
MLP_relu_ES_No_Reg_No_npy,australian,SGD,0.04166668653488159,0.12318837642669678,,,0.9583333134651184,0.8768116235733032,,,,1702,0.0004054083340409873,class
MLP_relu_ES_No_Reg_No_npy,australian,MGD,0.5579710006713867,0.54347825050354,,,0.4420289993286133,0.45652174949645996,,,,1702,0.0003259855767954951,class
MLP_relu_ES_No_Reg_No_npy,australian,NAG,0.4420289993286133,0.45652174949645996,,,0.5579710006713867,0.54347825050354,,,,1702,0.0003062179986981378,class
MLP_relu_ES_No_Reg_No_npy,australian,RMSprop,0.15760868787765503,0.24637681245803833,,,0.842391312122345,0.7536231875419617,,,,1702,0.00035222889720529747,class
MLP_relu_ES_No_Reg_No_npy,australian,Adam,0.43478262424468994,0.4855072498321533,,,0.5652173757553101,0.5144927501678467,,,,1702,0.00033130766688913536,class
MLP_relu_ES_No_Reg_No_npy,australian,Adagrad,0.01449275016784668,0.14492756128311157,,,0.9855072498321533,0.8550724387168884,,,,1702,0.00035477202871571416,class
MLP_relu_ES_No_Reg_No_npy,australian,SGD,0.03442031145095825,0.1666666865348816,,,0.9655796885490417,0.8333333134651184,,,,1702,0.0004004823124927023,class
MLP_relu_ES_No_Reg_No_npy,australian,MGD,0.5652174055576324,0.5144927501678467,,,0.43478259444236755,0.4855072498321533,,,,1702,0.00032211559406225234,class
MLP_relu_ES_No_Reg_No_npy,australian,NAG,0.43478262424468994,0.4855072498321533,,,0.5652173757553101,0.5144927501678467,,,,1702,0.00033229805421138155,class
MLP_relu_ES_No_Reg_No_npy,australian,RMSprop,0.15760868787765503,0.17391306161880493,,,0.842391312122345,0.8260869383811951,,,,1702,0.0003383859344150709,class
MLP_relu_ES_No_Reg_No_npy,australian,Adam,0.32065218687057495,0.38405799865722656,,,0.679347813129425,0.6159420013427734,,,,1702,0.0003283339134161023,class
MLP_relu_ES_No_Reg_No_npy,australian,Adagrad,0.012681186199188232,0.14492756128311157,,,0.9873188138008118,0.8550724387168884,,,,1702,0.00033892583155977553,class
