index,Problem,Data,Algo,AccTst,Param
485,class,pima,RMSprop,0.7142857313156128,1102
486,class,wine,RMSprop,1.0,1703
487,reg,dee,RMSprop,0.7349969013514437,801
488,reg,mpg6,RMSprop,-9.717828726672579,701
489,class,heart,RMSprop,0.7037037014961243,1602
490,class,ionosphere,SGD,0.9295774698257446,3602
491,class,wisconsin,SGD,0.9561403393745422,3302
492,class,pima,SGD,0.6883116960525513,1102
493,reg,dee,SGD,0.8305100413788606,801
494,reg,baseball,SGD,0.6985067444837094,1801
495,class,heart,SGD,0.8333333134651184,1602
496,class,iris,SGD,0.9666666388511658,803
497,class,wine,SGD,0.9722222089767456,1703
498,class,glass,SGD,0.6511628031730652,1606
499,class,vehicle,SGD,0.8294117450714111,2304
500,reg,diabetese,SGD,0.414576842805333,1201
501,class,australian,SGD,0.8333333134651184,1702
502,reg,mpg6,SGD,0.7912794015014334,701
503,reg,friedman,SGD,0.8856443985000841,701
504,class,wisconsin,Adagrad,0.9561403393745422,3302
505,class,vehicle,Adagrad,0.8941176533699036,2304
506,reg,diabetese,Adagrad,0.43148525158189166,1201
507,class,australian,Adagrad,0.8840579986572266,1702
508,class,pima,Adagrad,0.7532467246055603,1102
509,reg,baseball,Adagrad,0.7777314573671024,1801
510,reg,mpg6,Adagrad,0.8588327416291727,701
511,class,ionosphere,Adagrad,0.8309859037399292,3602
512,reg,friedman,Adagrad,0.8243851409765991,701
513,class,iris,Adagrad,0.9333333373069763,803
514,class,wine,Adagrad,0.9444444179534912,1703
515,reg,dee,Adagrad,0.7661240137485137,801
516,class,heart,Adagrad,0.8333333134651184,1602
517,class,glass,Adagrad,0.604651153087616,1606
518,class,ionosphere,Adam,0.3380281627178192,3602
519,class,heart,Adam,0.7592592835426331,1602
520,reg,mpg6,Adam,-2.843073942012479,701
521,class,wisconsin,Adam,0.9824561476707458,3302
522,class,wine,Adam,0.9722222089767456,1703
523,class,glass,Adam,0.604651153087616,1606
524,class,iris,Adam,0.9333333373069763,803
525,reg,dee,Adam,-4.866467220100698,801
526,class,pima,Adam,0.7077922224998474,1102
527,class,vehicle,Adam,0.6058823466300964,2304
528,reg,baseball,Adam,-0.9436260706868924,1801
529,reg,friedman,Adam,-8.140342056204165,701
530,reg,diabetese,Adam,-2.838176944067063,1201
531,class,australian,Adam,0.7898550629615784,1702
532,reg,friedman,MGD,0.943626133294735,701
533,class,australian,MGD,0.8623188138008118,1702
534,class,glass,MGD,0.604651153087616,1606
535,reg,dee,MGD,0.7637520229375483,801
536,class,wine,MGD,0.9444444179534912,1703
537,class,iris,MGD,0.9666666388511658,803
538,reg,mpg6,MGD,0.813436708853359,701
539,class,wisconsin,MGD,0.9649122953414917,3302
540,class,vehicle,MGD,0.800000011920929,2304
541,reg,baseball,MGD,0.5120079753309938,1801
542,class,ionosphere,MGD,0.6901408433914185,3602
543,class,pima,MGD,0.6688311696052551,1102
544,class,heart,MGD,0.7777777910232544,1602
545,reg,diabetese,MGD,0.5522515122244406,1201
546,reg,dee,NAG,0.820398371277955,801
547,class,australian,NAG,0.7753623127937317,1702
548,class,iris,NAG,0.9666666388511658,803
549,reg,diabetese,NAG,0.3837809906249623,1201
550,class,heart,NAG,0.7962962985038757,1602
551,class,vehicle,NAG,0.8764705657958984,2304
552,reg,mpg6,NAG,0.842494654811194,701
553,class,glass,NAG,0.6976743936538696,1606
554,class,ionosphere,NAG,0.7183098793029785,3602
555,class,wine,NAG,0.9444444179534912,1703
556,reg,friedman,NAG,0.9468536401849779,701
557,class,pima,NAG,0.7207792401313782,1102
558,reg,baseball,NAG,0.5426197434405033,1801
559,class,wisconsin,NAG,0.9912280440330505,3302
560,class,iris,RMSprop,0.9333333373069763,803
561,class,australian,RMSprop,0.804347813129425,1702
562,reg,dee,RMSprop,0.7701650676116736,801
563,class,heart,RMSprop,0.7592592835426331,1602
564,class,wisconsin,RMSprop,0.9912280440330505,3302
565,class,pima,RMSprop,0.6558441519737244,1102
566,reg,diabetese,RMSprop,0.24600086329195225,1201
567,reg,friedman,RMSprop,-6.937803665950605,701
568,reg,mpg6,RMSprop,0.8026555424930502,701
569,class,wine,RMSprop,1.0,1703
570,class,ionosphere,RMSprop,0.9295774698257446,3602
571,reg,baseball,RMSprop,0.6885526514930758,1801
572,class,glass,RMSprop,0.6976743936538696,1606
573,class,vehicle,RMSprop,0.800000011920929,2304
574,class,wisconsin,SGD,0.9912280440330505,3302
575,class,iris,SGD,0.9666666388511658,803
576,reg,baseball,SGD,0.7666246436679995,1801
577,class,glass,SGD,0.6976743936538696,1606
578,class,pima,SGD,0.7272727489471436,1102
579,reg,mpg6,SGD,0.8235555434253522,701
580,class,ionosphere,SGD,0.9718309640884399,3602
581,class,wine,SGD,1.0,1703
582,class,heart,SGD,0.8148148059844971,1602
583,class,australian,SGD,0.7898550629615784,1702
584,reg,diabetese,SGD,0.510021057684827,1201
585,class,vehicle,SGD,0.8352941274642944,2304
586,reg,friedman,SGD,0.819676159715591,701
587,reg,dee,SGD,0.8508639752690589,801
588,class,ionosphere,Adagrad,0.9577465057373047,3602
589,reg,dee,Adagrad,0.8686830558236627,801
590,reg,friedman,Adagrad,0.7927770023333246,701
591,class,vehicle,Adagrad,0.8588235378265381,2304
592,class,glass,Adagrad,0.6744186282157898,1606
593,reg,diabetese,Adagrad,0.44729891500653496,1201
594,class,wine,Adagrad,1.0,1703
595,reg,baseball,Adagrad,0.6376819503725095,1801
596,class,australian,Adagrad,0.8913043737411499,1702
597,class,iris,Adagrad,0.9333333373069763,803
598,class,wisconsin,Adagrad,0.9473684430122375,3302
599,class,heart,Adagrad,0.8148148059844971,1602
600,class,pima,Adagrad,0.7792207598686218,1102
601,reg,mpg6,Adagrad,0.8737781063092185,701
602,class,wine,Adam,0.9722222089767456,1703
603,class,pima,Adam,0.7467532753944397,1102
604,class,ionosphere,Adam,0.3661971688270569,3602
605,reg,friedman,Adam,-6.867784793602982,701
606,class,vehicle,Adam,0.7352941036224365,2304
607,class,glass,Adam,0.7674418687820435,1606
608,reg,dee,Adam,-4.391259395421482,801
609,reg,baseball,Adam,-14.734085863517244,1801
610,class,wisconsin,Adam,0.9473684430122375,3302
611,class,australian,Adam,0.8260869383811951,1702
612,class,iris,Adam,0.9333333373069763,803
613,class,heart,Adam,0.7592592835426331,1602
614,reg,mpg6,Adam,-6.062199937572151,701
615,reg,diabetese,Adam,-2.4817553554679987,1201
616,class,vehicle,MGD,0.8470588326454163,2304
617,reg,mpg6,MGD,0.8685368980248145,701
618,class,wine,MGD,1.0,1703
619,class,heart,MGD,0.7962962985038757,1602
620,reg,diabetese,MGD,0.503737515205499,1201
621,class,ionosphere,MGD,0.7042253613471985,3602
622,class,australian,MGD,0.8333333134651184,1702
623,reg,dee,MGD,0.8604597269413544,801
624,class,iris,MGD,0.9666666388511658,803
625,class,pima,MGD,0.7077922224998474,1102
626,class,wisconsin,MGD,0.9736841917037964,3302
627,reg,baseball,MGD,0.4763425569872478,1801
628,class,glass,MGD,0.6976743936538696,1606
629,reg,friedman,MGD,0.9376526543694716,701
630,reg,friedman,NAG,0.9248265381544611,701
631,class,vehicle,NAG,0.8235294222831726,2304
632,reg,baseball,NAG,0.5586005702309282,1801
633,reg,dee,NAG,0.7828113387439792,801
634,class,wisconsin,NAG,0.9649122953414917,3302
635,class,wine,NAG,0.9722222089767456,1703
636,class,australian,NAG,0.8115941882133484,1702
637,reg,mpg6,NAG,0.867397912152548,701
638,class,glass,NAG,0.6744186282157898,1606
639,class,heart,NAG,0.7037037014961243,1602
640,class,iris,NAG,0.8999999761581421,803
641,class,ionosphere,NAG,0.4225352108478546,3602
642,class,pima,NAG,0.7272727489471436,1102
643,reg,diabetese,NAG,0.381182030451546,1201
644,reg,friedman,RMSprop,-7.194251200781551,701
645,reg,baseball,RMSprop,0.47067895610418375,1801
646,class,australian,RMSprop,0.8623188138008118,1702
647,class,heart,RMSprop,0.7962962985038757,1602
648,reg,mpg6,RMSprop,0.6635253431693995,701
649,class,iris,RMSprop,0.9666666388511658,803
650,class,vehicle,RMSprop,0.729411780834198,2304
651,class,ionosphere,RMSprop,0.9295774698257446,3602
652,reg,dee,RMSprop,0.7942549544413733,801
653,class,pima,RMSprop,0.7662337422370911,1102
654,class,glass,RMSprop,0.6976743936538696,1606
655,class,wisconsin,RMSprop,0.9122806787490845,3302
656,reg,diabetese,RMSprop,-5.9503928641834145,1201
657,class,wine,RMSprop,0.9444444179534912,1703
658,reg,mpg6,SGD,0.816123663101376,701
659,class,ionosphere,SGD,0.9154929518699646,3602
660,class,heart,SGD,0.7592592835426331,1602
661,class,glass,SGD,0.5581395626068115,1606
662,class,vehicle,SGD,0.8882352709770203,2304
663,reg,dee,SGD,0.766756074194431,801
664,reg,diabetese,SGD,0.379894232791534,1201
665,class,australian,SGD,0.8260869383811951,1702
666,reg,baseball,SGD,0.582797048550237,1801
667,class,wisconsin,SGD,0.9824561476707458,3302
668,reg,friedman,SGD,0.9143911110147707,701
669,class,wine,SGD,0.9722222089767456,1703
670,class,pima,SGD,0.7402597665786743,1102
671,class,iris,SGD,0.9666666388511658,803
672,reg,dee,Adagrad,0.8480824886160185,801
673,reg,baseball,Adagrad,0.717977069231762,1801
674,class,glass,Adagrad,0.7209302186965942,1606
675,class,ionosphere,Adagrad,0.8732394576072693,3602
676,class,heart,Adagrad,0.8148148059844971,1602
677,class,australian,Adagrad,0.8478260636329651,1702
678,class,wine,Adagrad,0.9166666865348816,1703
679,reg,mpg6,Adagrad,0.8636948851809716,701
680,class,vehicle,Adagrad,0.7176470756530762,2304
681,reg,diabetese,Adagrad,0.36401751081285494,1201
682,class,iris,Adagrad,0.9666666388511658,803
683,class,pima,Adagrad,0.7727272510528564,1102
684,class,wisconsin,Adagrad,0.9385964870452881,3302
685,reg,friedman,Adagrad,0.7528384867802703,701
686,class,iris,Adam,1.0,803
687,reg,mpg6,Adam,-3.068247858399154,701
688,class,glass,Adam,0.6744186282157898,1606
689,reg,baseball,Adam,-0.9003217197110049,1801
690,class,wisconsin,Adam,0.9122806787490845,3302
691,reg,friedman,Adam,-7.444226017233534,701
692,reg,dee,Adam,-5.067890156878794,801
693,class,heart,Adam,0.7037037014961243,1602
694,class,pima,Adam,0.5064935088157654,1102
695,class,australian,Adam,0.8333333134651184,1702
696,class,vehicle,Adam,0.6823529601097107,2304
697,class,ionosphere,Adam,0.3380281627178192,3602
698,reg,diabetese,Adam,-2.50824946630923,1201
699,class,wine,Adam,0.9444444179534912,1703
700,class,wisconsin,MGD,0.9649122953414917,3302
701,class,vehicle,MGD,0.8117647171020508,2304
702,class,glass,MGD,0.6744186282157898,1606
703,class,pima,MGD,0.7467532753944397,1102
704,class,wine,MGD,0.9444444179534912,1703
705,reg,friedman,MGD,0.9417603956459134,701
706,class,australian,MGD,0.7753623127937317,1702
707,class,iris,MGD,0.8999999761581421,803
708,class,heart,MGD,0.7962962985038757,1602
709,reg,diabetese,MGD,0.4397247805442114,1201
710,reg,mpg6,MGD,0.8288112975347096,701
711,class,ionosphere,MGD,0.577464759349823,3602
712,reg,baseball,MGD,0.7101342059883324,1801
713,reg,dee,MGD,0.8407935127646835,801
714,class,wisconsin,NAG,0.9473684430122375,3302
715,class,glass,NAG,0.6976743936538696,1606
716,class,ionosphere,NAG,0.6056337952613831,3602
717,reg,friedman,NAG,0.9468706705364489,701
718,class,iris,NAG,0.9666666388511658,803
719,class,pima,NAG,0.701298713684082,1102
720,class,vehicle,NAG,0.7411764860153198,2304
721,reg,diabetese,NAG,0.3745146218722686,1201
722,reg,mpg6,NAG,0.791803750594981,701
723,class,wine,NAG,0.9722222089767456,1703
724,class,heart,NAG,0.7407407164573669,1602
725,reg,baseball,NAG,0.4961656792464211,1801
